first_name;last_name;phone_numbers;main_email;extra_emails;gender;birthdate
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1992
Daniel Javier;Carva;4569003454|123-213-8904;;;;
Pedritooooooooooo;Carva;4569003454|123-213-8904;;;;
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1992
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1993
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1994
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1995
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1996
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1997
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1998
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-1999
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2000
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2001
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2002
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2003
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2004
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2005
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2006
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2007
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2008
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2009
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2010
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2011
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2012
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2013
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2014
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2015
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2016
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2017
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2018
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2019
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2020
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2021
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2022
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2023
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2024
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2025
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2026
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2027
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2028
Daniel;Vermi;3135448967|5135448967;oscar.rpr@gmail.com;odolartef@unal.edu.co|oolarte@bigdatasolutions.co;Male;03-29-2029
